BUS_ID,GEN_ID,Pg,Qg,MBASE,STATUS
1,1 ,262.52838134765625,110.2835693359375,100.0,1
2,1 ,40.0,50.0,100.0,1
5,1 ,0.0,36.908203125,100.0,1
8,1 ,0.0,37.203102111816406,100.0,1
11,1 ,0.0,16.179651260375977,100.0,1
13,1 ,0.0,10.629406929016113,100.0,1
31,G1,0.019309964030981064,-14.986665725708008,1.0,1
31,G2,0.019309964030981064,-14.986665725708008,1.0,1
31,G3,0.019309964030981064,-14.986665725708008,1.0,1
31,G4,0.019309964030981064,-14.986665725708008,1.0,1
31,G5,0.019309964030981064,-14.986665725708008,1.0,1
31,G6,0.019309964030981064,-14.986665725708008,1.0,1
31,G7,0.019309964030981064,-14.986665725708008,1.0,1
31,G8,0.019309964030981064,-14.986665725708008,1.0,1
